sgRNA_ID,Target_Gene,Base_Mean_Counts,LFC_Treatment_vs_Control,p_value,FDR,Pathway_Annotation
KRT428_sg2,KRT428,332,-0.2336,0.12709432758071249,0.2209311523595651,Unassigned
KRT428_sg3,KRT428,857,0.2244,0.09345937617537485,0.17266789538497632,Unassigned
KRT428_sg4,KRT428,127,0.2007,0.30342123307440183,0.43465939223722927,Unassigned
KRT428_sg5,KRT428,119,0.1889,0.34245329720648965,0.4766446560357562,Unassigned
OLFM55_sg1,OLFM55,661,-0.0583,0.671695858159808,0.7718276292628405,Unassigned
OLFM55_sg2,OLFM55,2686,-0.3148,0.011506497152793966,0.03005390876969871,Unassigned
OLFM55_sg3,OLFM55,849,0.4598,0.0005966188860029709,0.0021642764909418533,Unassigned
RAB740_sg1,RAB740,5277,-0.1448,0.23661762260074393,0.3598199857067274,Unassigned
RAB740_sg2,RAB740,760,0.0899,0.506977893581148,0.6353624359926224,Unassigned
RAB740_sg3,RAB740,720,-0.7702,1.5836296657084074e-08,1.0550331219480549e-07,Unassigned
RAB740_sg4,RAB740,915,0.047,0.7239576822796825,0.8119758661728157,Unassigned
RAB740_sg5,RAB740,3079,0.1746,0.15917293663133203,0.2648761980774329,Unassigned
RAB740_sg6,RAB740,2114,-0.006,0.9621042775683838,0.9778542455894803,Unassigned
OLFM583_sg1,OLFM583,65,-0.31,0.2078258054764366,0.32537178605015643,Unassigned
OLFM583_sg2,OLFM583,1098,-0.0064,0.9612098776506312,0.9775015704921672,Unassigned
OLFM583_sg3,OLFM583,492,0.226,0.11442244740961807,0.20309273590631535,Unassigned
OLFM583_sg4,OLFM583,247,-0.7387,5.78727090041166e-06,2.963778200961929e-05,Unassigned
ANKRD385_sg1,ANKRD385,23,-0.5613,0.14021818916549444,0.23917134836052045,Unassigned
ANKRD385_sg2,ANKRD385,33,-0.0526,0.8713061394276174,0.9179530906188489,Unassigned
ANKRD385_sg3,ANKRD385,191,0.0956,0.5818178593489715,0.6994684531726034,Unassigned
ANKRD385_sg4,ANKRD385,37,0.2013,0.5148543368435932,0.6422833543457999,Unassigned
ANKRD385_sg5,ANKRD385,197,0.1664,0.33362546004598315,0.46769924305511656,Unassigned
ABCC574_sg1,ABCC574,964,-1.0904,1.7281165050787357e-16,1.6160690508841044e-15,Unassigned
ABCC574_sg2,ABCC574,138,-1.314,4.785250044757613e-12,3.8694744297231374e-11,Unassigned
ABCC574_sg3,ABCC574,374,-2.0146,2.898604708905468e-41,4.75700991614683e-40,Unassigned
ABCC574_sg4,ABCC574,66,-1.7536,7.63509197548782e-13,6.351989996246106e-12,Unassigned
ABCC574_sg5,ABCC574,517,-1.8605,3.78583914138691e-39,5.915373658417047e-38,Unassigned
CCDC770_sg1,CCDC770,708,-0.891,6.718629626595476e-11,5.157596949791818e-10,Unassigned
CCDC770_sg2,CCDC770,39,0.1276,0.6728710477844972,0.7725861693790155,Unassigned
CCDC770_sg3,CCDC770,107,-0.4675,0.023249318664787407,0.05466140751909265,Unassigned
CCDC770_sg4,CCDC770,49,0.2364,0.3899774720303172,0.5254344813127421,Unassigned
DNAJ568_sg1,DNAJ568,709,0.2239,0.10097081784129666,0.18358330516599392,Unassigned
DNAJ568_sg2,DNAJ568,422,-0.6922,2.3609904296375996e-06,1.2725424521941786e-05,Unassigned
DNAJ568_sg3,DNAJ568,307,-0.3531,0.02312674920453483,0.05442180528589782,Unassigned
DNAJ568_sg4,DNAJ568,272,-0.385,0.015758792286300775,0.03943641713288482,Unassigned
DNAJ568_sg5,DNAJ568,536,-0.8472,2.0814636240895015e-09,1.486759731492501e-08,Unassigned
KRT313_sg1,KRT313,552,0.0394,0.7794726368557594,0.8524729109153061,Unassigned
KRT313_sg2,KRT313,157,0.3113,0.08898584227707147,0.1658945605463674,Unassigned
KRT313_sg3,KRT313,127,0.1282,0.5109888907884335,0.6389490965177144,Unassigned
KRT313_sg4,KRT313,302,-0.3447,0.027120139959755162,0.062287873127595685,Unassigned
DNAJ604_sg1,DNAJ604,248,-0.4702,0.0038682863528661667,0.01153335227449662,Unassigned
DNAJ604_sg2,DNAJ604,7266,-0.2221,0.06798641226690924,0.13319614601902952,Unassigned
DNAJ604_sg3,DNAJ604,186,0.037,0.8323968826585941,0.8890955362917128,Unassigned
DNAJ604_sg4,DNAJ604,510,-0.36,0.01146855906878555,0.02998028593578192,Unassigned
DNAJ604_sg5,DNAJ604,664,0.1595,0.24604991286863198,0.37066874490604396,Unassigned
WDR864_sg1,WDR864,2699,-0.2321,0.062346440758629315,0.12422909290375128,Unassigned
WDR864_sg2,WDR864,98,0.0261,0.9019973367993821,0.9383180725910663,Unassigned
WDR864_sg3,WDR864,2464,-0.6332,4.041348123519853e-07,2.3633614757426037e-06,Unassigned
WDR864_sg4,WDR864,265,-0.2456,0.12560469371502803,0.2189513768409804,Unassigned
WDR864_sg5,WDR864,14073,-0.5444,6.68686294145449e-06,3.398947615107332e-05,Unassigned
WDR864_sg6,WDR864,569,0.2733,0.051356081495565586,0.10586497904215615,Unassigned
OLFM334_sg1,OLFM334,52,-0.2553,0.3415936895348395,0.47566889556466696,Unassigned
OLFM334_sg2,OLFM334,246,-1.3737,3.6592048394512875e-17,3.471731346727977e-16,Unassigned
OLFM334_sg3,OLFM334,2451,0.0812,0.5157998756535624,0.6431859774662193,Unassigned
OLFM334_sg4,OLFM334,373,0.1556,0.2988213145380685,0.429793817055425,Unassigned
OLFM334_sg5,OLFM334,302,-0.4662,0.0028038949346041765,0.008659341984571267,Unassigned
OLFM334_sg6,OLFM334,971,-0.0005,0.9971688091292905,0.9979671828755909,Unassigned
ADAM383_sg1,ADAM383,197,-0.1227,0.4759815066150589,0.6071192686416568,Unassigned
ADAM383_sg2,ADAM383,241,-0.8602,1.5208417977706987e-07,9.235881362979952e-07,Unassigned
ADAM383_sg3,ADAM383,80,0.7584,0.0008712874167288459,0.00302390357494972,Unassigned
ADAM383_sg4,ADAM383,4417,-0.3164,0.009986471609693995,0.026569186616780763,Unassigned
ADAM383_sg5,ADAM383,53,-0.3567,0.18067060839749827,0.29196764524543767,Unassigned
ADAM383_sg6,ADAM383,426,0.0302,0.8365984686358912,0.8913891909034215,Unassigned
USP731_sg1,USP731,678,-0.419,0.002259553398602876,0.007115956535595872,Unassigned
USP731_sg2,USP731,324,-0.3555,0.020826201913019756,0.04995091600500421,Unassigned
USP731_sg3,USP731,50,-0.6278,0.021349030582838102,0.05093659021298766,Unassigned
USP731_sg4,USP731,74,0.5167,0.02749590576075672,0.06300620018505206,Unassigned
USP731_sg5,USP731,723,0.1247,0.3600191402324606,0.4950758254021736,Unassigned
USP731_sg6,USP731,103,-0.2312,0.2677861140835076,0.39512017620033585,Unassigned
ABCA455_sg1,ABCA455,15,-2.7766,2.0153548483663997e-09,1.4409114740465203e-08,Unassigned
ABCA455_sg2,ABCA455,590,-2.8026,1.1541384289125667e-89,4.508353237939714e-88,Ribosome
ABCA455_sg3,ABCA455,89,-2.0608,5.69176855561966e-21,5.941303293966242e-20,Unassigned
ABCA455_sg4,ABCA455,851,-2.2698,1.8256056896285936e-64,4.657157371501514e-63,Unassigned
ABCA455_sg5,ABCA455,244,-2.7792,6.9048013449577474e-65,1.7826509496448573e-63,DNA replication
SLC663_sg1,SLC663,227,-0.3179,0.05577957533785183,0.11337520042396267,Unassigned
SLC663_sg2,SLC663,357,-0.4452,0.003193932714252624,0.009721791946791673,Unassigned
SLC663_sg3,SLC663,60,0.5325,0.03587697768178326,0.0786890868879586,Unassigned
SLC663_sg4,SLC663,96,0.0214,0.920311928086728,0.9505689734428452,Unassigned
SLC663_sg5,SLC663,224,1.113,2.456151735993049e-11,1.926897282421325e-10,Unassigned
COL414_sg1,COL414,59,0.3615,0.15695141014785274,0.2619640761341706,Unassigned
COL414_sg2,COL414,964,-0.1261,0.34070624145100026,0.4748298450027877,Unassigned
COL414_sg3,COL414,208,0.1143,0.5008810226216349,0.6300918600574072,Unassigned
COL414_sg4,COL414,38,-0.0002,0.9993675793961239,0.9995674928947028,Unassigned
MMP194_sg1,MMP194,143,0.5926,0.0016293082239479367,0.005314116842622103,Unassigned
MMP194_sg2,MMP194,384,0.1414,0.34287940026436425,0.47707311514309036,Unassigned
MMP194_sg3,MMP194,169,0.2757,0.12419242929843857,0.21681639193163157,Unassigned
MMP194_sg4,MMP194,602,0.5041,0.0002937183075031413,0.0011390316992107342,Unassigned
MMP194_sg5,MMP194,781,-0.3804,0.004854233452543628,0.014105676440944287,Unassigned
MMP194_sg6,MMP194,12119,-0.0539,0.6560752431584301,0.7590535015330854,Unassigned
ADAM670_sg1,ADAM670,1856,0.9548,4.530774799493167e-14,3.948961184915602e-13,Unassigned
ADAM670_sg2,ADAM670,28,0.7465,0.032255226808319916,0.07204115576605104,Unassigned
ADAM670_sg3,ADAM670,192,-0.051,0.76839194324495,0.844634262690477,Unassigned
ADAM670_sg4,ADAM670,221,0.5638,0.0007494635341070068,0.002645165414495318,Unassigned
ADAM670_sg5,ADAM670,783,0.1996,0.1394325861664504,0.23815904910175636,Unassigned
ADAM670_sg6,ADAM670,81,0.5557,0.014282551058976046,0.036268540017714686,Unassigned
CYP118_sg1,CYP118,149,0.0247,0.8940699704666175,0.9332022515482057,Unassigned
CYP118_sg2,CYP118,51,-0.445,0.10009624843292705,0.18229454483195331,Unassigned
CYP118_sg3,CYP118,134,-0.2736,0.1537863315004828,0.2577712562864277,Unassigned
CYP118_sg4,CYP118,142,-0.0637,0.7353661554238363,0.8205379998034327,Unassigned
CYP118_sg5,CYP118,207,0.0336,0.8433783519006386,0.8969565568994313,Unassigned
ABCA179_sg1,ABCA179,56,-0.2496,0.3384424914616384,0.47250906291181827,Unassigned
ABCA179_sg2,ABCA179,1441,0.1829,0.15416957628440175,0.2583270380100565,Unassigned
ABCA179_sg3,ABCA179,671,-0.1167,0.39564663576171377,0.5314973613134253,Unassigned
ABCA179_sg4,ABCA179,38,-0.9699,0.0015012815840398117,0.004937343512518565,Unassigned
ABCA179_sg5,ABCA179,343,0.3276,0.03128211920855629,0.07017074743956099,Unassigned
ABCA564_sg1,ABCA564,32,-0.053,0.8718749588154161,0.9183431207240531,Unassigned
ABCA564_sg2,ABCA564,2473,0.7587,1.2625224818440027e-09,9.131069058659615e-09,Unassigned
ABCA564_sg3,ABCA564,3719,-0.1231,0.3182722234642932,0.4511513279119635,Unassigned
ABCA564_sg4,ABCA564,304,0.2597,0.09553509673067263,0.175750936565365,Unassigned
ABCA564_sg5,ABCA564,92,0.3778,0.08139009235024858,0.15430376456695258,Unassigned
TMEM672_sg1,TMEM672,122,0.8925,6.1899916039243655e-06,3.157085143110013e-05,Unassigned
TMEM672_sg2,TMEM672,167,0.747,3.2888901936184675e-05,0.00015188840179888242,Unassigned
TMEM672_sg3,TMEM672,281,0.205,0.1955079018233905,0.31033000289427065,Unassigned
TMEM672_sg4,TMEM672,2580,0.0365,0.7697001883562146,0.8456363361318366,Unassigned
TMEM672_sg5,TMEM672,1385,0.2635,0.04065917437056832,0.08715170270913472,Unassigned
GPR805_sg1,GPR805,1417,0.0146,0.9097858032011483,0.9436959441267703,Unassigned
GPR805_sg2,GPR805,427,-0.4412,0.002577530262816298,0.00801803275450943,Unassigned
GPR805_sg3,GPR805,59,-0.53,0.0380118676424657,0.08247909947012665,Unassigned
GPR805_sg4,GPR805,104,-0.2686,0.19649281836028676,0.3113661816400065,Unassigned
PCDH246_sg1,PCDH246,362,0.3458,0.02170080209169105,0.05163710479564236,Unassigned
PCDH246_sg2,PCDH246,55,1.0143,0.00011197540010918995,0.0004711447409923841,Unassigned
PCDH246_sg3,PCDH246,521,0.1389,0.32797673748525824,0.4614191579702564,Unassigned
PCDH246_sg4,PCDH246,1105,0.2872,0.028166796502962003,0.06424436332043902,Unassigned
PCDH246_sg5,PCDH246,748,0.0973,0.4732239764275419,0.6044758278474945,Unassigned
ADAM100_sg1,ADAM100,705,-0.0147,0.9141661581795092,0.9468645472098216,Unassigned
ADAM100_sg2,ADAM100,20,-0.2578,0.5249317802369853,0.650688100450771,Unassigned
ADAM100_sg3,ADAM100,2441,-0.1933,0.12197304802556824,0.21386273762519273,Unassigned
TMEM860_sg1,TMEM860,31,-0.1726,0.6046243943886331,0.7183087213551004,Unassigned
TMEM860_sg2,TMEM860,263,-0.2556,0.11159151165198292,0.19898629039226626,Unassigned
TMEM860_sg3,TMEM860,835,-0.0042,0.975288969203749,0.9848750867144361,Unassigned
TMEM860_sg4,TMEM860,566,0.1094,0.43553844852219425,0.5706024434228074,Unassigned
TMEM860_sg5,TMEM860,49,-0.0452,0.8695345505010434,0.9167894802348153,Unassigned
TMEM860_sg6,TMEM860,64,-0.1437,0.5615343782585314,0.6835198956323922,Unassigned
RAB139_sg1,RAB139,508,0.5169,0.00028594421603191317,0.0011114701322826374,Unassigned
RAB139_sg2,RAB139,711,0.0887,0.5154982489254394,0.642979688498386,Unassigned
RAB139_sg3,RAB139,63,0.0087,0.9721293169569872,0.9831360333983525,Unassigned
RAB139_sg4,RAB139,595,-0.2156,0.12212885394463159,0.21411089401232747,Unassigned
RAB139_sg5,RAB139,34,0.2592,0.4184697783297402,0.5535802694193582,Unassigned
KRT178_sg1,KRT178,843,0.2415,0.07154791268264586,0.13869458390277695,Unassigned
KRT178_sg2,KRT178,88,-0.0601,0.784853611387345,0.856453089685012,Unassigned
KRT178_sg3,KRT178,373,0.1492,0.31929990525827645,0.4520316207129597,Unassigned
KRT178_sg4,KRT178,290,-0.1908,0.22504001542071728,0.3460024837341902,Unassigned
KRT178_sg5,KRT178,1884,0.0402,0.7506732633793323,0.8324165706135864,Unassigned
KRT178_sg6,KRT178,475,0.078,0.5879221450303913,0.7046224042052041,Unassigned
ABCA262_sg1,ABCA262,134,-0.5203,0.00667518359184183,0.018711970449939722,Unassigned
ABCA262_sg2,ABCA262,566,-0.2632,0.060758124506624,0.12166224370569484,Unassigned
ABCA262_sg3,ABCA262,8214,-0.3911,0.0012874202723464295,0.004298098682808253,Unassigned
ABCA262_sg4,ABCA262,1002,-0.5781,1.1681812107297216e-05,5.7451534953920736e-05,Unassigned
ABCA262_sg5,ABCA262,302,-0.5982,0.0001257117296070752,0.0005239444134776683,Unassigned
ABCA262_sg6,ABCA262,95,-0.3155,0.141176653291694,0.24056001356076448,Unassigned
CYP476_sg1,CYP476,131,-0.305,0.11429984857422432,0.20289913948087154,Unassigned
CYP476_sg2,CYP476,916,-0.5236,8.202356974659003e-05,0.00035253683272173366,Unassigned
CYP476_sg3,CYP476,87,-0.0258,0.906971176379168,0.9415577303403364,Unassigned
CYP476_sg4,CYP476,332,-0.4345,0.004533924236370557,0.013282981161241866,Unassigned
CCDC794_sg1,CCDC794,2854,-0.2921,0.018780395167821436,0.045917836596140425,Unassigned
CCDC794_sg2,CCDC794,414,-0.8506,7.415867252864696e-09,5.101861797236085e-08,Unassigned
CCDC794_sg3,CCDC794,65,0.0339,0.890579627742337,0.9309843484657505,Unassigned
CCDC794_sg4,CCDC794,8663,0.4903,5.3949218873023846e-05,0.00024062987900545874,Unassigned
CCDC794_sg5,CCDC794,4646,0.0176,0.8861952852362295,0.9277156067749863,Unassigned
PCDH684_sg1,PCDH684,700,-0.3729,0.006379415211945884,0.017980313449678365,Unassigned
PCDH684_sg2,PCDH684,2239,-0.6369,3.837409274607252e-07,2.2484819968401864e-06,Unassigned
PCDH684_sg3,PCDH684,221,-0.3252,0.05185638094924356,0.10667110727353996,Unassigned
PCDH684_sg4,PCDH684,979,-0.5199,8.363300085303442e-05,0.00035852958353687237,Unassigned
PCDH684_sg5,PCDH684,175,0.129,0.46774003139716913,0.600274721774863,Unassigned
PCDH684_sg6,PCDH684,43,0.0583,0.8408561824661049,0.8949721661102372,Unassigned
CCDC637_sg1,CCDC637,16121,-0.8819,2.834578389802375e-13,2.4008286757219437e-12,Unassigned
CCDC637_sg2,CCDC637,40,0.2673,0.3713611968312963,0.5064834208458497,Unassigned
CCDC637_sg3,CCDC637,516,-0.6141,1.567498378668101e-05,7.565146615193538e-05,Unassigned
CCDC637_sg4,CCDC637,507,-0.2066,0.14729010048120134,0.2490532642563431,Unassigned
CCDC637_sg5,CCDC637,716,-0.1505,0.26978051096246614,0.39708641590000904,Unassigned
CCDC637_sg6,CCDC637,289,-0.3475,0.02727719858567024,0.06260066994875362,Unassigned
RAB158_sg1,RAB158,293,0.4779,0.0023281565204069307,0.00730898865761908,Unassigned
RAB158_sg2,RAB158,407,-0.229,0.12072756629561941,0.21202593307976714,Unassigned
RAB158_sg3,RAB158,678,0.3976,0.003759068197581169,0.011257690137450819,Unassigned
RAB158_sg4,RAB158,329,0.1935,0.20701841441028657,0.324393876044236,Unassigned
PCDH322_sg1,PCDH322,298,-0.4959,0.0015211201987694615,0.00499382862366862,Unassigned
PCDH322_sg2,PCDH322,46,0.2091,0.45875582962298167,0.5925036545845295,Unassigned
PCDH322_sg3,PCDH322,6772,-0.327,0.007270433742965406,0.0201732345809251,Unassigned
PCDH322_sg4,PCDH322,738,-0.4473,0.0009962488521138466,0.0034164912623931643,Unassigned
DNAJ431_sg1,DNAJ431,452,0.1888,0.19293559498960333,0.3070593023707215,Unassigned
DNAJ431_sg2,DNAJ431,129,-0.0043,0.9824593231200215,0.9896787657158423,Unassigned
DNAJ431_sg3,DNAJ431,73,0.5252,0.02577758225087011,0.05966112232110039,Unassigned
DNAJ431_sg4,DNAJ431,1200,0.1481,0.25455356160587084,0.380224782223136,Unassigned
RAB133_sg1,RAB133,260,-0.5699,0.00040198708084808346,0.0015163791793087191,Unassigned
RAB133_sg2,RAB133,838,0.224,0.09484873875611695,0.17469684201151206,Unassigned
RAB133_sg3,RAB133,43,0.8424,0.0036901825269836067,0.011079411109838691,Unassigned
RAB133_sg4,RAB133,3362,-0.3822,0.0019993855769817642,0.006372882204574259,Unassigned
RAB133_sg5,RAB133,1277,-0.1459,0.2594941950797619,0.3857693683048988,Unassigned
RAB133_sg6,RAB133,292,0.3289,0.0362724175130019,0.07937071665864748,Unassigned
ABCA246_sg1,ABCA246,666,-0.3822,0.0054423011440854555,0.01562682181494675,Unassigned
ABCA246_sg2,ABCA246,1004,0.6626,5.041334363337042e-07,2.925339088977007e-06,Unassigned
ABCA246_sg3,ABCA246,44,0.5462,0.05734828608816855,0.11596445016480564,Unassigned
ABCA246_sg4,ABCA246,4092,-0.2106,0.08685066521459237,0.16264169515841265,Unassigned
ABCA246_sg5,ABCA246,682,-0.0594,0.6650685237870418,0.7662079767131819,Unassigned
ABCA246_sg6,ABCA246,115,-0.4724,0.018892266600679063,0.046131206089888646,Unassigned
OR278_sg1,OR278,64,-0.264,0.2861055297049896,0.41577704705750307,Unassigned
OR278_sg2,OR278,1452,0.3743,0.0035366988271972864,0.010654846838312772,Unassigned
OR278_sg3,OR278,453,0.18,0.21432884198457058,0.33345347074736215,Unassigned
OR278_sg4,OR278,681,-0.2961,0.030847681320188593,0.06939340428956642,Unassigned
OR278_sg5,OR278,344,0.5921,9.859016879955394e-05,0.00041751906606248137,Unassigned
OR278_sg6,OR278,73,-0.1569,0.5053941045717615,0.6339084847041075,Unassigned
OLFM495_sg1,OLFM495,708,0.1193,0.3823779610121001,0.5175195718831995,Unassigned
OLFM495_sg2,OLFM495,246,0.0741,0.6493800651277319,0.7541577095785057,Unassigned
OLFM495_sg3,OLFM495,320,0.1092,0.47892722709263835,0.60994297897687,Unassigned
OLFM495_sg4,OLFM495,11678,0.427,0.00042002979152054245,0.0015774779351046913,Unassigned
OLFM495_sg5,OLFM495,1216,-0.0309,0.8121949536141817,0.875678254169549,Unassigned
OLFM495_sg6,OLFM495,1326,0.0137,0.9153345905176719,0.9476167339198756,Unassigned
RAB634_sg1,RAB634,19551,0.7024,5.7974522084330385e-09,4.011152358233191e-08,Unassigned
RAB634_sg2,RAB634,588,0.2678,0.05517242571902939,0.11233696019891962,Unassigned
RAB634_sg3,RAB634,395,-0.2615,0.07786761084918603,0.148924411926277,Unassigned
RAB634_sg4,RAB634,119,0.1307,0.5114222776675598,0.6394377065110775,Unassigned
FAM63_sg1,FAM63,168,0.1191,0.5071820805581988,0.6354603414945692,Unassigned
FAM63_sg2,FAM63,15,-0.8217,0.0759772107253956,0.145972686278928,Unassigned
FAM63_sg3,FAM63,1081,-0.2963,0.023771828694753066,0.05570842785543437,Unassigned
FAM63_sg4,FAM63,49,0.2805,0.3077108417381501,0.43920514020580487,Unassigned
ABCB433_sg1,ABCB433,1279,0.1435,0.26747048539467433,0.394848664592079,Unassigned
ABCB433_sg2,ABCB433,310,-0.2131,0.16966312776975745,0.2780451127003563,Unassigned
ABCB433_sg3,ABCB433,400,0.1259,0.39503253092009694,0.5308150106424306,Unassigned
ABCB433_sg4,ABCB433,310,0.2023,0.1922503628079396,0.30621877108351836,Unassigned
OR704_sg1,OR704,2642,-0.0483,0.698537915952788,0.7918733932354761,Unassigned
OR704_sg2,OR704,2027,0.25,0.047261600274766544,0.09865349347641221,Unassigned
OR704_sg3,OR704,316,-0.8259,9.13717860369523e-08,5.656528231755197e-07,Unassigned
OR704_sg4,OR704,86,-0.7099,0.0013845762467166337,0.0045887414274744815,Unassigned
ADAM673_sg1,ADAM673,1321,-0.3716,0.0040006120163089435,0.011874477125039456,Unassigned
ADAM673_sg2,ADAM673,77,0.4099,0.07598033557916331,0.145972686278928,Unassigned
ADAM673_sg3,ADAM673,32,0.5253,0.11016444779919499,0.1970271511849201,Unassigned
TMEM733_sg1,TMEM733,698,0.0947,0.4887583185655998,0.618808460877412,Unassigned
TMEM733_sg2,TMEM733,2054,0.0607,0.6299381234558231,0.7396812505982638,Unassigned
TMEM733_sg3,TMEM733,180,-1.2106,6.497116872419541e-12,5.2339824428728854e-11,Unassigned
TMEM733_sg4,TMEM733,606,0.6455,3.481908841498681e-06,1.8422798103167624e-05,Unassigned
TMEM733_sg5,TMEM733,177,-0.0598,0.7356866784261593,0.8207124926663981,Unassigned
TMEM733_sg6,TMEM733,976,-0.0201,0.879308334577467,0.9239712190806046,Unassigned
GPR403_sg1,GPR403,1707,-0.27,0.0336740548280645,0.07472053586108987,Unassigned
GPR403_sg2,GPR403,223,0.7163,1.769426313707759e-05,8.463454944392981e-05,Unassigned
GPR403_sg3,GPR403,71,0.3695,0.12056156977722153,0.21175919750097458,Unassigned
GPR403_sg4,GPR403,37,-0.022,0.9432054789849482,0.9665310961042645,Unassigned
GPR403_sg5,GPR403,1324,0.2536,0.049475188062905906,0.10246138629622928,Unassigned
ABCB738_sg1,ABCB738,60,-0.2886,0.2553866439828929,0.38124996613688233,Unassigned
ABCB738_sg2,ABCB738,577,0.2945,0.035443158327856265,0.07792815557268751,Unassigned
ABCB738_sg3,ABCB738,1060,-0.6263,1.8269004499608988e-06,1.0026895993199226e-05,Unassigned
ABCB738_sg4,ABCB738,156,-1.0952,2.3455653783448433e-09,1.6706306113567262e-08,RNA polymerase
ABCB738_sg5,ABCB738,257,-0.6705,3.2924961565389736e-05,0.00015200813280420006,Unassigned
ABCB738_sg6,ABCB738,1478,-0.4056,0.0015541008351358477,0.005094299066223277,Unassigned
CCDC159_sg1,CCDC159,98,1.1043,1.9388199856990813e-07,1.1660906088807626e-06,Unassigned
CCDC159_sg2,CCDC159,84,1.5764,1.8980747023704275e-12,1.5583536144256384e-11,mRNA surveillance pathway
CCDC159_sg3,CCDC159,232,1.456,1.2857216329926975e-18,1.2621612889326219e-17,Unassigned
CCDC159_sg4,CCDC159,2246,1.4181,1.2367657660268152e-29,1.5801947606816207e-28,Unassigned
CCDC159_sg5,CCDC159,3700,0.9678,4.243893662096375e-15,3.8210327089703254e-14,Unassigned
CCDC159_sg6,CCDC159,285,0.9336,3.356092403433419e-09,2.363303435108702e-08,Unassigned
GPR421_sg1,GPR421,114,0.2592,0.19896132311680426,0.314314886440449,Unassigned
GPR421_sg2,GPR421,1630,0.0513,0.6870947089951538,0.7838209037666821,Unassigned
GPR421_sg3,GPR421,27,-0.0182,0.9591025023186377,0.9760201855345703,Unassigned
GPR421_sg4,GPR421,479,0.2586,0.07197539595630621,0.13940904687942796,Unassigned
CYP353_sg1,CYP353,309,0.2936,0.058631842585620604,0.11806061025596787,Unassigned
CYP353_sg2,CYP353,2300,-0.2154,0.08565658099080248,0.16086749904370068,Unassigned
CYP353_sg3,CYP353,2677,0.5565,7.94935268028917e-06,3.983972275453977e-05,Unassigned
CYP353_sg4,CYP353,80,-0.5306,0.01986608589621305,0.048039865942801185,Unassigned
CYP353_sg5,CYP353,425,0.2202,0.13273508925610036,0.2290378855218573,Unassigned
OLFM217_sg1,OLFM217,140,0.3289,0.08231644443108958,0.1558039957686238,Unassigned
OLFM217_sg2,OLFM217,213,0.1371,0.41645636696780597,0.5515978370434516,Unassigned
OLFM217_sg3,OLFM217,834,-0.1614,0.22901171928179875,0.350886188889375,Unassigned
OLFM217_sg4,OLFM217,200,0.6935,5.236067676698019e-05,0.00023389224285428912,Unassigned
OLFM217_sg5,OLFM217,442,-0.1093,0.4525370099342889,0.5861878367024468,Unassigned
ANKRD676_sg1,ANKRD676,1388,0.0868,0.4999337278171764,0.6292168079591917,Unassigned
ANKRD676_sg2,ANKRD676,3206,0.0463,0.7084463185241328,0.8002009932947292,Unassigned
ANKRD676_sg3,ANKRD676,509,0.3783,0.007926088026892066,0.021674476540447244,Unassigned
ANKRD676_sg4,ANKRD676,394,-0.0667,0.6531320880153544,0.7567574015317716,Unassigned
ABCA118_sg1,ABCA118,63,-0.4701,0.059053477714468436,0.11874023669129043,Unassigned
ABCA118_sg2,ABCA118,3564,0.7142,7.2593228181364215e-09,4.9972392047749575e-08,Unassigned
ABCA118_sg3,ABCA118,695,-0.1219,0.37308465420540815,0.5081512587924383,Unassigned
ZNF395_sg1,ZNF395,405,-0.1123,0.4470200676668843,0.5816188005902222,Unassigned
ZNF395_sg2,ZNF395,375,-0.6694,7.736627701933707e-06,3.8812513554851375e-05,Unassigned
ZNF395_sg3,ZNF395,567,0.304,0.030289917988987912,0.06834129241469329,Unassigned
ZNF395_sg4,ZNF395,1051,-0.2036,0.12121052881974312,0.21269980490128063,Unassigned
OLFM273_sg1,OLFM273,1266,-0.5865,5.927890655270054e-06,3.028554490090286e-05,Unassigned
OLFM273_sg2,OLFM273,3700,-0.59,1.7194863271143722e-06,9.44772707205699e-06,Unassigned
OLFM273_sg3,OLFM273,475,-0.9821,8.8847059857215e-12,7.111557619307495e-11,Unassigned
OLFM273_sg4,OLFM273,4588,-0.9218,5.777389730315065e-14,5.020906486368828e-13,Unassigned
OLFM273_sg5,OLFM273,1614,-1.1411,3.583517864496576e-19,3.569240900893004e-18,Unassigned
OLFM273_sg6,OLFM273,302,-1.5494,3.0145242228768883e-23,3.339576317810438e-22,DNA replication
ARHGAP332_sg1,ARHGAP332,27,0.4952,0.16213664607289502,0.2688238853866945,Unassigned
ARHGAP332_sg2,ARHGAP332,376,0.254,0.08953901124944026,0.16676001598480306,Unassigned
ARHGAP332_sg3,ARHGAP332,3421,0.2981,0.015872444126995438,0.039681110317488597,Unassigned
MMP687_sg1,MMP687,103,-0.6592,0.0015782077458308223,0.005167674347841592,Unassigned
MMP687_sg2,MMP687,374,0.3914,0.008953106093208896,0.024214998622618007,Unassigned
MMP687_sg3,MMP687,423,-0.1863,0.20391348911282003,0.3205091122757716,Unassigned
MMP687_sg4,MMP687,1357,0.5796,6.883376913778305e-06,3.4881977603606276e-05,Unassigned
MMP687_sg5,MMP687,185,-0.5617,0.0013274026769224726,0.004421727771227423,Unassigned
MMP687_sg6,MMP687,90,0.5914,0.006794678721966806,0.019000779423844535,Unassigned
SLC837_sg1,SLC837,777,-0.5175,0.00012840969858806292,0.0005344465812488745,Unassigned
